"VESSEL","STATION","LAT_DD","LON_DD","MaleTanner","FemaleTanner","HairCrab","MaleSnow","FemaleSnow","MaleHybrid","FemaleHybrid","Tanner","Snow","Hybrid"
"Vesteraalen","W4",57.249888,-159.876225,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","W8",56.587032,-159.941591,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","V2",57.593853,-160.307739,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","V3",57.428187,-160.322461,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","V6",56.931016,-160.365815,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","V8",56.599416,-160.394061,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","V9",56.433566,-160.407993,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","U1",57.77052,-160.760484,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","U2",57.60483,-160.773163,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","U3",57.439115,-160.785724,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","U11",56.112315,-160.882158,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","T1",57.779796,-161.228357,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","T4",57.282524,-161.259551,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","T5",57.116712,-161.269757,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","T11",56.121192,-161.329069,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","S1",57.787321,-161.696454,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","S12",55.962323,-161.783755,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","R1",57.793094,-162.164726,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","R2",57.627302,-162.170844,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","R9",56.465995,-162.212118,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","R13",55.801695,-162.234548,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","Q1",57.797112,-162.633129,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","Q11",56.137759,-162.670806,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","Q13",55.805507,-162.677939,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","Q15",55.473109,-162.684946,0,0,0,0,0,0,0,0,0,0
